Rep,Party,State,Vote
Adams,D,NC,Nay
Aderholt,R,AL,Yea
Aguilar,D,CA,Nay
Alford,R,MO,Yea
Allen,R,GA,Yea
Amo,D,RI,Yea
Amodei (NV),R,NV,Yea
Ansari,D,AZ,Nay
Arrington,R,TX,Yea
Auchincloss,D,MA,Yea
Babin,R,TX,Yea
Bacon,R,NE,Yea
Baird,R,IN,Yea
Balderson,R,OH,Yea
Balint,D,VT,Nay
Barr,R,KY,Yea
Barragán,D,CA,Nay
Barrett,R,MI,Yea
Baumgartner,R,WA,Yea
Bean (FL),R,FL,Yea
Beatty,D,OH,Nay
Begich,R,AK,Yea
Bell,D,MO,Nay
Bentz,R,OR,Yea
Bera,D,CA,Not Voting
Bergman,R,MI,Yea
Beyer,D,VA,Nay
Bice,R,OK,Yea
Biggs (AZ),R,AZ,Yea
Biggs (SC),R,SC,Yea
Bilirakis,R,FL,Yea
Bishop,D,GA,Yea
Boebert,R,CO,Yea
Bonamici,D,OR,Nay
Bost,R,IL,Yea
Boyle (PA),D,PA,Yea
Brecheen,R,OK,Yea
Bresnahan,R,PA,Yea
Brown,D,OH,Nay
Brownley,D,CA,Nay
Buchanan,R,FL,Yea
Budzinski,D,IL,Nay
Burchett,R,TN,Yea
Burlison,R,MO,Yea
Bynum,D,OR,Yea
Calvert,R,CA,Yea
Cammack,R,FL,Yea
Carbajal,D,CA,Yea
Carey,R,OH,Yea
Carson,D,IN,Nay
Carter (GA),R,GA,Yea
Carter (LA),D,LA,Yea
Carter (TX),R,TX,Yea
Casar,D,TX,Nay
Case,D,HI,Yea
Casten,D,IL,Nay
Castor (FL),D,FL,Nay
Castro (TX),D,TX,Nay
Cherfilus-McCormick,D,FL,Yea
Chu,D,CA,Nay
Ciscomani,R,AZ,Yea
Cisneros,D,CA,Nay
Clark (MA),D,MA,Nay
Clarke (NY),D,NY,Nay
Cleaver,D,MO,Nay
Cline,R,VA,Yea
Cloud,R,TX,Yea
Clyburn,D,SC,Nay
Clyde,R,GA,Yea
Cohen,D,TN,Yea
Cole,R,OK,Yea
Collins,R,GA,Yea
Comer,R,KY,Yea
Conaway,D,NJ,Yea
Connolly,D,VA,Nay
Correa,D,CA,Nay
Costa,D,CA,Yea
Courtney,D,CT,Yea
Craig,D,MN,Yea
Crane,R,AZ,Yea
Crank,R,CO,Yea
Crawford,R,AR,Yea
Crenshaw,R,TX,Yea
Crockett,D,TX,Nay
Crow,D,CO,Nay
Cuellar,D,TX,Yea
Davids (KS),D,KS,Yea
Davidson,R,OH,Yea
Davis (IL),D,IL,Nay
Davis (NC),D,NC,Yea
De La Cruz,R,TX,Yea
Dean (PA),D,PA,Nay
DeGette,D,CO,Nay
DeLauro,D,CT,Yea
DelBene,D,WA,Yea
Deluzio,D,PA,Yea
DeSaulnier,D,CA,Not Voting
DesJarlais,R,TN,Yea
Dexter,D,OR,Nay
Diaz-Balart,R,FL,Not Voting
Dingell,D,MI,Nay
Doggett,D,TX,Nay
Donalds,R,FL,Yea
Downing,R,MT,Yea
Dunn (FL),R,FL,Yea
Edwards,R,NC,Yea
Elfreth,D,MD,Yea
Ellzey,R,TX,Yea
Emmer,R,MN,Yea
Escobar,D,TX,Nay
Espaillat,D,NY,Nay
Estes,R,KS,Yea
Evans (CO),R,CO,Yea
Evans (PA),D,PA,Nay
Ezell,R,MS,Yea
Fallon,R,TX,Yea
Fedorchak,R,ND,Yea
Feenstra,R,IA,Yea
Fields,D,LA,Yea
Figures,D,AL,Yea
Finstad,R,MN,Yea
Fischbach,R,MN,Yea
Fitzgerald,R,WI,Yea
Fitzpatrick,R,PA,Yea
Fleischmann,R,TN,Yea
Fletcher,D,TX,Nay
Flood,R,NE,Yea
Fong,R,CA,Yea
Foster,D,IL,Yea
Foushee,D,NC,Nay
Foxx,R,NC,Yea
"Frankel, Lois",D,FL,Yea
"Franklin, Scott",R,FL,Yea
Friedman,D,CA,Yea
Frost,D,FL,Nay
Fry,R,SC,Yea
Fulcher,R,ID,Yea
Garamendi,D,CA,Nay
Garbarino,R,NY,Yea
Garcia (CA),D,CA,Nay
García (IL),D,IL,Nay
Garcia (TX),D,TX,Nay
Gill (TX),R,TX,Yea
Gillen,D,NY,Yea
Gimenez,R,FL,Not Voting
Golden (ME),D,ME,Yea
Goldman (NY),D,NY,Nay
Goldman (TX),R,TX,Yea
Gomez,D,CA,Nay
"Gonzales, Tony",R,TX,Yea
"Gonzalez, V.",D,TX,Yea
Gooden,R,TX,Yea
Goodlander,D,NH,Yea
Gosar,R,AZ,Yea
Gottheimer,D,NJ,Yea
Graves,R,MO,Yea
Gray,D,CA,Yea
Green (TN),R,TN,Yea
"Green, Al (TX)",D,TX,Nay
Greene (GA),R,GA,Yea
Griffith,R,VA,Yea
Grijalva,D,AZ,Not Voting
Grothman,R,WI,Yea
Guest,R,MS,Yea
Guthrie,R,KY,Yea
Hageman,R,WY,Yea
Hamadeh (AZ),R,AZ,Yea
Harder (CA),D,CA,Yea
Haridopolos,R,FL,Yea
Harrigan,R,NC,Yea
Harris (MD),R,MD,Yea
Harris (NC),R,NC,Yea
Harshbarger,R,TN,Yea
Hayes,D,CT,Nay
Hern (OK),R,OK,Yea
Higgins (LA),R,LA,Yea
Hill (AR),R,AR,Yea
Himes,D,CT,Yea
Hinson,R,IA,Yea
Horsford,D,NV,Yea
Houchin,R,IN,Yea
Houlahan,D,PA,Yea
Hoyer,D,MD,Yea
Hoyle (OR),D,OR,Yea
Hudson,R,NC,Yea
Huffman,D,CA,Nay
Huizenga,R,MI,Yea
Hunt,R,TX,Yea
Hurd (CO),R,CO,Yea
